,Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM_PM10,SPM,si,ni,ri
0,38,5/1/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.6,17.16666667,73.33333333,149.6666667,12.0,21.4583333375,91.6666666625
1,38,7/1/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.15,20.28333333,61.33333333,150.3333333,13.9375,25.354166662500003,76.6666666625
2,38,12/1/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.45,20.51666667,75.0,114.6666667,15.5625,25.6458333375,93.75
3,38,1/19/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.75,18.18333333,120.0,197.6666667,13.4375,22.7291666625,113.33333333333333
4,38,1/21/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.78,17.32,96.5,216.0,12.225,21.65,105.5
5,38,1/28/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,17.11666667,20.86666667,81.33333333,159.3333333,21.3958333375,26.0833333375,100.44444444333334
6,38,2/2/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.48333333,20.66666667,82.33333333,185.6666667,14.3541666625,25.8333333375,100.77777777666667
7,38,4/2/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.93333333,18.65,79.0,179.3333333,13.666666662499999,23.3125,98.75
8,38,9/2/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.36666667,19.5,96.66666667,181.3333333,14.208333337500001,24.375,105.55555555666666
9,38,11/2/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.16666667,18.38333333,52.66666667,125.6666667,13.9583333375,22.9791666625,65.8333333375
10,38,2/16/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.18333333,18.63333333,50.66666667,128.3333333,12.729166662499999,23.2916666625,63.333333337499994
11,38,2/18/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.56666667,21.48333333,85.0,157.0,14.458333337500001,26.8541666625,101.66666666666667
12,38,2/23/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.55,19.78333333,88.66666667,272.3333333,14.4375,24.729166662500003,102.88888889
13,38,2/25/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.71666667,22.33333333,83.0,197.3333333,18.3958333375,27.9166666625,101.0
14,38,2/3/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.633333333,16.61666667,94.66666667,193.3333333,12.041666666249998,20.7708333375,104.88888889
15,38,4/3/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.38333333,16.58333333,118.3333333,335.3333333,14.229166662499999,20.7291666625,112.77777776666667
16,38,9/3/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.7,22.13333333,56.0,173.6666667,15.875,27.6666666625,70.0
17,38,11/3/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.65,14.36666667,53.33333333,107.3333333,10.8125,17.9583333375,66.6666666625
18,38,3/18/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.71666667,19.36666667,69.66666667,167.3333333,14.645833337500001,24.2083333375,87.0833333375
19,38,3/23/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.18333333,16.6,111.0,298.6666667,12.729166662499999,20.75,110.33333333333333
20,38,3/25/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.41666667,20.15,58.0,222.3333333,14.2708333375,25.1875,72.5
21,38,3/30/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,15.35,20.5,67.66666667,279.3333333,19.1875,25.625,84.5833333375
22,38,1/4/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.316666667,17.31666667,88.0,253.0,11.64583333375,21.6458333375,102.66666666666667
23,38,6/4/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.15,16.68333333,61.66666667,214.3333333,12.6875,20.8541666625,77.0833333375
24,38,8/4/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.65,18.25,42.66666667,128.0,13.3125,22.8125,53.333333337499994
25,38,4/13/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.55,16.88333333,39.0,174.0,13.1875,21.1041666625,48.75
26,38,4/15/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.3,18.08333333,48.66666667,144.0,12.875,22.6041666625,60.833333337499994
27,38,4/20/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.3,18.96666667,43.33333333,271.6666667,12.875,23.708333337499997,54.166666662500006
28,38,4/22/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,15.8,22.38333333,86.66666667,248.0,19.75,27.9791666625,102.22222222333333
29,38,4/27/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.13333333,21.4,58.66666667,169.6666667,15.166666662499999,26.75,73.3333333375
30,38,4/29/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.1,19.16666667,46.33333333,155.3333333,12.625,23.9583333375,57.916666662500006
31,38,4/5/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.3,17.53333333,57.0,145.6666667,12.875,21.916666662500003,71.25
32,38,6/5/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.7,18.71666667,79.66666667,169.6666667,13.375,23.395833337499997,99.5833333375
33,38,11/5/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.95,18.9,161.3333333,296.3333333,13.6875,23.625,127.11111109999999
34,38,5/18/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.02,15.64,74.33333333,212.6666667,11.274999999999999,19.55,92.9166666625
35,38,5/20/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.91666667,21.65,62.66666667,139.6666667,14.8958333375,27.0625,78.3333333375
36,38,5/25/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.816666667,16.4,89.33333333,211.3333333,12.27083333375,20.5,103.11111111
37,38,5/27/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.71666667,23.45,68.33333333,211.6666667,18.3958333375,29.3125,85.4166666625
38,38,1/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.266666667,12.73333333,89.33333333,218.3333333,11.583333333750002,15.9166666625,103.11111111
39,38,3/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,13.53333333,22.21666667,86.0,225.0,16.9166666625,27.770833337499997,102.0
40,38,8/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.63333333,20.43333333,61.0,243.3333333,14.541666662499999,25.5416666625,76.25
41,38,10/6/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.38333333,20.51666667,73.66666667,136.6666667,15.479166662499999,25.6458333375,92.0833333375
42,38,6/15/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.6,19.38333333,74.0,171.0,14.5,24.2291666625,92.5
43,38,6/17/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,14.01666667,24.5,95.0,232.3333333,17.5208333375,30.625,105.0
44,38,6/22/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.966666667,16.91666667,43.66666667,141.3333333,12.45833333375,21.1458333375,54.583333337499994
45,38,6/24/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.7,18.86666667,79.0,220.0,13.375,23.5833333375,98.75
46,38,6/29/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.983333333,15.35,67.0,136.3333333,11.229166666249998,19.1875,83.75
47,38,1/7/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,9.066666667,15.33333333,81.0,165.3333333,11.33333333375,19.1666666625,100.33333333333333
48,38,6/7/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.78333333,21.2,90.66666667,203.3333333,15.979166662499999,26.5,103.55555555666666
49,38,8/7/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,12.6,20.21666667,55.0,83.33333333,15.75,25.270833337499997,68.75
50,38,7/13/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.05,17.5,75.0,167.3333333,12.5625,21.875,93.75
51,38,7/15/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,8.816666667,15.13333333,59.33333333,180.3333333,11.02083333375,18.9166666625,74.1666666625
52,38,7/20/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,10.45,15.96666667,56.66666667,96.0,13.0625,19.9583333375,70.8333333375
53,38,7/22/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.3,19.11666667,99.66666667,215.3333333,14.125,23.8958333375,106.55555555666666
54,38,7/27/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,13.45,22.3,87.66666667,221.6666667,16.8125,27.875,102.55555555666666
55,38,7/29/2010,Tamil Nadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam, Chennai",Tamilnadu State Pollution Control Board,Industrial Area,11.15,18.93333333,48.66666667,136.6666667,13.9375,23.6666666625,60.833333337499994
